filename,gender
AnilGupta_2009I,M
AniLiu_2016X,F
AnjaliTripathi_2015X,F
AnnaDeavereSmith_2005,F
AnnaMracekDietrich_2011G,F
AnnCooper_2007P,F
AnneCurzan_2014X,F
AnneLamott_2017,F
AnneMarieSlaughter_2013G,F
AnneMilgram_2013S,F
AnnetteHeuser_2013G,F
AnnieLennox_2010G,F
AnnieMurphyPaul_2011G,F
AnnMarieThomas_2011,F
AnnMorgan_2015G,F
AnoteTong_2015Z,M
AnthonyAtala_2009P,M
AnthonyAtala_2011,M
AnthonyDRomero_2017,M
AnthonyGoldbloom_2016U,M
AntonioDamasio_2011,M
AntonioGuterres_2015G,M
AntonyGormley_2012G,M
AnupamMishra_2009I,M
AomawaShields_2015U,F
AparnaRao_2011G,F
AparnaRao_2013U,F
ApolloRobbins_2013G,M
AriannaHuffington_2010W,F
ArielGarten_2011X,F
ArisVenetikidis_2012X,M
AriWallach_2016X,M
ArthurBenjamin_2005,M
ArthurBenjamin_2009,M
ArthurBenjamin_2013G,M
ArthurBrooks_2016,M
ArthurGanson_2004,M
ArthurPottsDawson_2010G,M
ArunachalamMuruganantham_2012S,M
ArvindGupta_2010P,M
AshadeVos_2014U,F
AshBeckham_2013X,F
AshBeckham_2014X,F
AsherHasan_2009I,M
AshleyJudd_2016W,F
AshrafGhani_2005G,M
AshtonCofer_2016Y,M
AspenBaker_2015W,F
AstroTeller_2016,M
AtulGawande_2012,M
AubreydeGrey_2005G,M
AudreyChoi_2015S,F
AukeIjspeert_2015G,M
